Ref,Val,Package,PosX,PosY,Rot,Side
"C1","470u","CP_Elec_8x10",89.500000,-51.500000,0.000000,top
"C2","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",82.000000,-51.500000,180.000000,top
"C3","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",90.750000,-32.500000,90.000000,top
"C4","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",90.750000,-37.500000,90.000000,top
"C5","220u","CP_Elec_6.3x7.7",110.800000,-39.250000,180.000000,top
"C6","220u","CP_Elec_6.3x7.7",68.500000,-71.500000,180.000000,top
"C7","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",108.000000,-68.500000,90.000000,top
"C8","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",99.500000,-63.500000,-90.000000,top
"C9","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",103.250000,-15.500000,180.000000,top
"C10","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",96.000000,-16.250000,180.000000,top
"C11","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",94.250000,-27.000000,180.000000,top
"C13","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",85.250000,-29.250000,0.000000,top
"C15","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",71.750000,-18.000000,0.000000,top
"C16","27p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",112.000000,-14.250000,-90.000000,top
"C17","27p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",92.250000,-12.000000,180.000000,top
"C18","470u","CP_Elec_8x10",88.000000,-66.000000,90.000000,top
"C19","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",89.000000,-72.750000,0.000000,top
"C20","2u2","C_Rect_L11.0mm_W6.3mm_P10.00mm_MKT",15.000000,-20.750000,0.000000,top
"C21","1n5","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",15.500000,-27.000000,-90.000000,top
"C22","220p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",28.250000,-11.750000,-90.000000,top
"C23","220p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",38.250000,-17.250000,-90.000000,top
"C24","220p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",37.750000,-21.750000,-90.000000,top
"C25","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",25.750000,-14.250000,90.000000,top
"C26","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",16.250000,-10.750000,0.000000,top
"C27","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",51.500000,-12.750000,90.000000,top
"C28","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",34.750000,-15.000000,0.000000,top
"C29","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",37.000000,-5.500000,-90.000000,top
"C30","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",46.750000,-29.500000,-90.000000,top
"C31","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",28.500000,-28.500000,-90.000000,top
"C40","1n5","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",104.250000,-76.500000,0.000000,top
"C41","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",86.000000,-77.250000,180.000000,top
"C42","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",22.250000,-76.750000,0.000000,top
"C43","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",27.750000,-76.750000,180.000000,top
"C44","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",44.750000,-35.250000,0.000000,top
"C45","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",82.000000,-19.500000,-90.000000,top
"C46","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",79.500000,-79.250000,90.000000,top
"C47","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",92.750000,-78.000000,90.000000,top
"C48","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",11.200000,-36.000000,180.000000,top
"C49","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",111.250000,-54.500000,0.000000,top
"C50","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",43.750000,-39.250000,-90.000000,top
"C60","2u2","C_Rect_L11.0mm_W6.3mm_P10.00mm_MKT",15.000000,-62.750000,0.000000,top
"C61","1n5","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",15.500000,-69.000000,-90.000000,top
"C62","220p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",28.250000,-53.750000,-90.000000,top
"C63","220p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",38.250000,-59.250000,-90.000000,top
"C64","220p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",37.750000,-63.750000,-90.000000,top
"C65","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",25.750000,-56.250000,90.000000,top
"C66","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",16.250000,-52.750000,0.000000,top
"C67","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",51.500000,-54.750000,90.000000,top
"C68","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",34.750000,-57.000000,0.000000,top
"C69","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",37.000000,-47.500000,-90.000000,top
"C70","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",46.750000,-71.500000,-90.000000,top
"C71","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",28.500000,-70.500000,-90.000000,top
"D1","SS14","D_SMA",81.500000,-33.250000,0.000000,top
"D2","SS14","D_SMA",87.250000,-35.000000,-90.000000,top
"D3","GREEN","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",25.000000,-83.800000,0.000000,top
"D4","YELLOW","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",32.500000,-83.800000,0.000000,top
"D5","GREEN","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",40.000000,-83.800000,0.000000,top
"D6","RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",10.000000,-83.800000,0.000000,top
"D7","RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",17.500000,-83.800000,0.000000,top
"D8","RED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",47.500000,-83.800000,0.000000,top
"D9","YELLOW","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",55.000000,-83.800000,0.000000,top
"D10","GREEN","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",62.500000,-83.800000,0.000000,top
"D11","1N4148W","D_SOD-123",107.000000,-79.250000,0.000000,top
"D12","1N4148W","D_SOD-123",96.750000,-77.250000,0.000000,top
"D13","1N4148W","D_SOD-123",40.750000,-79.250000,180.000000,top
"D14","1N4148W","D_SOD-123",33.500000,-76.750000,180.000000,top
"D15","S1M","D_SMA",17.500000,-35.000000,180.000000,top
"D16","S1M","D_SMA",12.750000,-39.750000,0.000000,top
